sku,name,category,price_gbp,file_path,drive_folder,drive_filename,description,thumbnail
TSO-WIC-001,Welfare Inspection Checklist,CDM & Construction Phase,5.00,,CDM Pack,CDM-08-WelfareInspectionChecklist.docx,"Weekly welfare inspection checklist for construction sites. Covers toilets, washing facilities, rest areas, drinking water, changing facilities and mess room. CDM 2015 requires adequate welfare facilities — this documents your weekly checks. Instant Word download.",cdm-construction-phase-plan.png
TSO-HSF-001,H&S File Handover Checklist,CDM & Construction Phase,8.00,,CDM Pack,CDM-10-HSFileHandoverChecklist.docx,"Health and Safety file handover checklist for use at practical completion. Ensures all required documents are compiled and handed to the client — as-built drawings, O&M manuals, structural calculations, test certificates and inspection records. CDM 2015 requires this file to be handed over. Instant Word download.",cdm-construction-phase-plan.png
TSO-CDM-PACK,CDM Full Pack - All 10 Documents,CDM & Construction Phase,49.00,,CDM Pack,ALL 10 FILES (CDM-01 to CDM-10) - select all in folder and download as zip,"Complete CDM document suite in one download. Includes: Construction Phase Plan, Pre-Construction Information, Competency Checklist, F10 Notification Guide, Designer Risk Register, Site Induction Record, Welfare Inspection Checklist, H&S File Handover Checklist, CPP Review Record and Principal Designer Appointment. Everything you need to comply with CDM 2015 from start to finish. Instant download.",cdm-construction-phase-plan.png
TSO-VO-001,Variation Order Form,Commercial & Estimating,8.00,,Commercial,COM-10-VariationOrder.docx,"Professional variation order form for recording scope changes on construction projects. Captures description of variation, cost impact, programme impact and signatures from both parties. Protects your position when the client or main contractor changes the scope. Never do a variation without a signed VO. Instant Word download.",application-for-payment.png
TSO-BOQ-001,Bill of Quantities Template,Commercial & Estimating,12.00,,Commercial,COM-09-BillOfQuantities.docx,"Structured bill of quantities template for tendering and pricing construction works. Covers labour, materials, plant and preliminary items. Organised by trade and work section. Produces a clear, professional tender submission that clients and QSs take seriously. Instant Word download.",application-for-payment.png
TSO-QL-001,Quotation Letter,Commercial & Estimating,6.00,,Commercial,COM-01-QuotationLetter.docx,"Professional quotation letter template for UK construction contractors. Structured, clear and legally sound. Covers scope, price, programme, exclusions, validity period and payment terms. Makes you look like an established business from the first contact with a new client. Instant Word download.",application-for-payment.png
TSO-DW-001,Daywork Sheet,Commercial & Estimating,6.00,,Commercial,COM-11-DayworkSheet.docx,"Daywork sheet for recording time and materials on variation works. Captures operative names, hours, plant, materials and supervisor signature. Get it signed on the day — unsigned dayworks are almost impossible to recover later. Instant Word download.",application-for-payment.png
TSO-WO-001,Works Order,Commercial & Estimating,8.00,,Commercial,COM-06-WorksOrder.docx,"Simple works order template for instructing subcontractors and suppliers. References scope, agreed price and programme. More formal than a text message, less complex than a full contract. Use for instructing subbies on defined packages of work. Instant Word download.",application-for-payment.png
TSO-PN-001,Payment Notice,Commercial & Estimating,6.00,,Commercial,COM-13-PaymentNotice.docx,"Payment notice template compliant with the Housing Grants, Construction and Regeneration Act 1996. Issued by the paying party to confirm the sum certified for payment. Required to be issued within the period specified in the contract. Instant Word download.",application-for-payment.png
TSO-PLN-001,Pay Less Notice,Commercial & Estimating,6.00,,Commercial,COM-14-PayLessNotice.docx,Pay less notice template compliant with the Housing Grants Act. Issued when paying less than the sum in a payment notice or application. Must be issued within the prescribed period or you must pay the full notified sum. Instant Word download.,application-for-payment.png
TSO-SCQ-001,Small Contractor Quote,Commercial & Estimating,8.00,,Commercial,COM-16-SmallContractorQuote.docx,"Simple, professional quotation template for small contractors and sole traders dealing directly with homeowners and small commercial clients. Covers scope, price, programme, payment schedule and terms. Looks the part without being overly complex. Instant Word download.",application-for-payment.png
TSO-EC-001,Employment Contract,HR & Workforce,12.00,,HR,HR-05-EmploymentContract.docx,"Full employment contract for UK construction workers. Compliant with UK employment law. Covers job title, pay, hours, holiday entitlement, notice period, sick pay, duties and disciplinary procedures. Use for directly employed site operatives and office staff. Instant Word download.",(create hr-pack.png or use contractor-pack.png)
TSO-LOA-001,Labour Only Agreement,HR & Workforce,10.00,,HR,HR-02-LabourOnlyAgreement.docx,,
TSO-ZHC-001,Zero Hours Contract,HR & Workforce,10.00,,HR,HR-04-ZeroHoursContract.docx,"Zero hours contract for casual construction workers. UK employment law compliant. Covers engagement terms, pay, holiday accrual, exclusivity clause and termination. Plain English and easy to complete. Instant Word download.",contractor-pack.png
TSO-NSC-001,New Starter Checklist,HR & Workforce,5.00,,HR,HR-06-NewStarterChecklist.docx,"New starter checklist for construction operatives and office staff. Covers ID checks, right to work verification, CSCS card check, emergency contacts, PPE issue record and site induction sign-off. Keeps your onboarding process organised and legally documented. Instant Word download.",contractor-pack.png
TSO-TM-001,Training Matrix,HR & Workforce,8.00,,HR,HR-08-TrainingMatrix.docx,"Training matrix for tracking operative competencies, certifications and CSCS cards across your workforce. Shows at a glance who is trained, what certifications are expiring and where gaps exist. Essential for main contractor prequalification and HSE compliance. Instant Word download.",contractor-pack.png
TSO-DP-001,Disciplinary Procedure,HR & Workforce,10.00,,HR,HR-11-DisciplinaryProcedure.docx,"Full disciplinary procedure for UK construction businesses. Covers investigation process, verbal warning, written warning, final written warning and dismissal. UK employment law compliant. Includes letter templates for each stage. Protects you from unfair dismissal claims. Instant Word download.",contractor-pack.png
TSO-SAR-001,Sickness & Absence Record,HR & Workforce,5.00,,HR,HR-18-SicknessAbsenceRecord.docx,"Sickness and absence record for tracking and managing employee absence in construction businesses. Records dates, reason, self-certification and return to work interview outcome. Essential for managing persistent short-term absence. Instant Word download.",contractor-pack.png
TSO-PR-001,Performance Review,HR & Workforce,6.00,,HR,HR-20-PerformanceReview.docx,"Annual performance review template for construction operatives and site staff. Covers key responsibilities, performance against objectives, training needs and goals for the coming year. Structured, fair and legally defensible. Instant Word download.",contractor-pack.png
TSO-HR-PACK,HR Full Pack - All 20 Documents,HR & Workforce,49.00,,HR,ALL 20 FILES (HR-01 to HR-20) - select all in folder and download as zip,"Complete HR document suite for UK construction businesses. All 20 documents including employment contracts, zero hours contracts, labour-only agreements, new starter checklists, training matrices, disciplinary procedure, warning letters, dismissal letter, absence records, return to work interviews and performance reviews. One-off payment — use across your whole business. Instant download.",contractor-pack.png
TSO-EMP-001,Environmental Management Plan,Quality & Environmental,12.00,,QMP,TSO-EMP-001-Environmental-Management-Plan.docx,"Full Environmental Management Plan covering all relevant UK legislation including the Environmental Protection Act 1990, Water Resources Act 1991, Wildlife & Countryside Act 1981 and Waste Regulations 2011. Includes 8-aspect impacts register with colour-coded risk ratings, ecology and protected species section, noise and dust controls, spill response procedure and EA incident hotline. Required on most commercial tenders. Instant Word download.",quality-management-plan.png
TSO-WMP-001,Waste Management Plan,Quality & Environmental,10.00,,QMP,TSO-WMP-001-Waste-Management-Plan.docx,Waste hierarchy plan with 9-stream waste register including EWC codes and disposal routes. Colour-coded on-site skip segregation guide. Waste carrier log with Environment Agency registration check reminder. Plasterboard handled correctly as specialist-only stream. Monthly recycling targets and monitoring section included. Instant Word download.,quality-management-plan.png
TSO-NCR-001,Non-Conformance Report,Quality & Environmental,8.00,,QMP,TSO-NCR-001-Non-Conformance-Report.docx,"Structured NCR form with 6 sections: NCR details, description, severity grading (Critical/Major/Minor), immediate corrective action, root cause analysis and close-out sign-off. Grey input cells make it clear what to fill in. Photo and evidence log included. Use on any contract requiring quality records. Instant Word download.",quality-management-plan.png
TSO-SS-001,Sustainability Statement,Quality & Environmental,10.00,,,"Drafted by Claude 2026-08-18 - not in Drive yet, review the delivered .docx then save it into this folder and fill in file_path","Sustainability statement template for planning applications and commercial tender submissions. Covers energy efficiency, waste reduction, sustainable materials, biodiversity net gain, transport and carbon reduction commitments. Increasingly required by local authorities and commercial clients. Instant Word download.",quality-management-plan.png
TSO-QE-PACK,Quality & Environmental Pack,Quality & Environmental,39.00,,QMP,"ALL 5 FILES (QMP + EMP + WMP + NCR + the new Sustainability Statement) - once SS-001 is reviewed and saved into the QMP Drive folder, select all 5 and download as zip","Complete quality and environmental document suite in one download. Includes: Quality Management Plan, Environmental Management Plan, Waste Management Plan, Non-Conformance Report and Sustainability Statement. Everything you need to win commercial tenders and satisfy main contractor requirements. Save over £10 vs buying individually. Instant Word download.",quality-management-plan.png
TSO-SD-001,Site Diary,Site Management,6.00,,Site Management Docs,SM-01-SiteDiary-1.docx,,
TSO-SIS-001,Sign In Sheet,Site Management,5.00,,Site Management Docs,SM-02-SignInSheet.docx,,
TSO-MDR-001,Material Delivery Record,Site Management,5.00,,Site Management Docs,SM-05-MaterialDeliveryRecord.docx,,
TSO-CPR-001,Concrete Pour Record,Site Management,6.00,,Site Management Docs,SM-06-ConcretePourRecord.docx,"Concrete pour record for capturing mix design, slump test results, volume poured, location and weather conditions. Essential for structural quality records and ITP sign-off. Required by most main contractors on reinforced concrete elements. Instant Word download.",(use quality-management-plan.png)
TSO-ITP-001,Inspection & Test Plan,Site Management,8.00,,Site Management Docs,SM-08-InspectionTestPlan.docx,"Inspection and Test Plan with hold and witness points for key construction stages. From setting out and foundations through to practical completion. Defines who inspects, what they check and whether work can proceed without sign-off. Required on most commercial projects. Instant Word download.",quality-management-plan.png
TSO-SL-001,Snagging List,Site Management,6.00,,Site Management Docs,SM-10-SnaggingList.docx,,
TSO-SHC-001,Site Handover Checklist,Site Management,8.00,,Site Management Docs,SM-11-SiteHandoverChecklist.docx,,
TSO-PPI-001,Plant Pre-Use Inspection,Site Management,5.00,,Site Management Docs,SM-13-PlantPreUseInspection.docx,"Daily plant pre-use inspection checklist for excavators, dumpers, telehandlers and MEWPs. Covers fluid levels, tyres, lights, controls, attachments and safety devices. Legally required before operating plant. Instant Word download.",quality-management-plan.png
TSO-AIR-001,Accident & Incident Report,Site Management,5.00,,Site Management Docs,SM-15-AccidentIncidentReport.docx,"Accident and incident report form for construction sites. Captures facts, witnesses, sequence of events, root cause and corrective actions. RIDDOR referenced — includes guidance on what must be reported to the HSE. Instant Word download.",quality-management-plan.png
TSO-NMR-001,Near Miss Report,Site Management,5.00,,Site Management Docs,SM-16-NearMissReport.docx,"Near miss report form for capturing and learning from near misses before they become accidents. Records what happened, what could have happened, contributing factors and preventative actions. A strong near miss culture prevents serious incidents. Instant Word download.",quality-management-plan.png
TSO-SM-PACK,Site Management Bundle - All 20 Forms,Site Management,29.00,,Site Management Docs,ALL 20 FILES (SM-01 to SM-20) - select all in folder and download as zip,,
